title,date_start,artist_display,place_of_origin,medium_display,credit_line,publication_history,exhibition_history,artwork_type_title,department_title,style_title,classification_title,museum,museum_location
Earrings,1675,"Italian
Probably Sicily",Sicily,"Gold, enamel, and pearls",Gift of Marilynn B. Alsdorf,,,Costume and Accessories,Applied Arts of Europe,,jewelry,Art Institute of Chicago,USA
Double-Sided Pendant with Instruments of the Passion and Emblem of a Confraternity,1701,European,Europe,"Gold, enamel, silk, and paperwork with gilding",Gift of Marilynn B. Alsdorf,"Ian Wardropper et al, Renaissance Jewelry in the Alsdorf Collection, The Art Institute of Chicago Museum Studies 25, 2 (2000), pp. 95 and 99, no. 63.",,Costume and Accessories,Applied Arts of Europe,,pendant (jewelry),Art Institute of Chicago,USA
Double-Sided Pendant with the Virgin Immaculate with Ramon Llull and Duns Scotus and the Virgin and Child Appearing to Saint Catherine,1675,Spanish,Spain,"Gold, enamel, and reverse painting (verre églomisé) on glass",Gift of Marilynn B. Alsdorf,"Ian Wardropper et al, Renaissance Jewelry in the Alsdorf Collection, The Art Institute of Chicago Museum Studies 25, 2 (2000), pp. 46-47 and 93, no. 13.","Virginia, Norfolk Museum of Arts and Sciences Melvin Gutman Collection of Antique Jewelry, 1964-66, cat. 60.",Costume and Accessories,Applied Arts of Europe,,pendant (jewelry),Art Institute of Chicago,USA
Pendant Cross,1550,Spanish or Spanish Colonial,Spain,Gold and emeralds,Gift of Marilynn B. Alsdorf,"Ian Wardropper et al, Renaissance Jewelry in the Alsdorf Collection, The Art Institute of Chicago Museum Studies 25, 2 (2000), pp. 37-38 and 92, no. 5.",,Costume and Accessories,Applied Arts of Europe,spanish colonial,pendant (jewelry),Art Institute of Chicago,USA
Pendant with an Intaglio of the Head of a Woman,1500,European,Europe,Gold and hardstone,Gift of Marilynn B. Alsdorf,,,Costume and Accessories,Applied Arts of Europe,,pendant (jewelry),Art Institute of Chicago,USA
Pendant Cross,1625,"Western European
Probably Spanish",Spain,"Gold, enamel, diamonds, and pearl",Gift of Marilynn B. Alsdorf,"Ian Wardropper et al, Renaissance Jewelry in the Alsdorf Collection, The Art Institute of Chicago Museum Studies 25, 2 (2000), p. 98, no. 54.",,Costume and Accessories,Applied Arts of Europe,,jewelry,Art Institute of Chicago,USA
Double-Sided Crucifix Pendant,1550,Spanish,Spain,"Gold, enamel, and pearls",Gift of Marilynn B. Alsdorf,"Ian Wardropper et al, Renaissance Jewelry in the Alsdorf Collection, The Art Institute of Chicago Museum Studies 25, 2 (2000), pp. 38-39 and 92, no. 6.",,Costume and Accessories,Applied Arts of Europe,,pendant (jewelry),Art Institute of Chicago,USA
Double-Sided Pendant with Scenes from the Lives of Saint Francis and of Christ,1600,German or Austrian,Austria,"Gold, enamel, antler core, glass, silk, shell, pearl, paper, and wood",Gift of Marilynn B. Alsdorf,"Ian Wardropper et al, Renaissance Jewelry in the Alsdorf Collection, The Art Institute of Chicago Museum Studies 25, 2 (2000), pp. 80-81 and 97, no. 43.",,Costume and Accessories,Applied Arts of Europe,,pendant (jewelry),Art Institute of Chicago,USA
Ring with Cameo Portrait of Girolamo Savonarola,1500,Italian,Italy,Gold and agate,Gift of Marilynn B. Alsdorf,"Ian Wardropper et al, Renaissance Jewelry in the Alsdorf Collection, The Art Institute of Chicago Museum Studies 25, 2 (2000), pp. 58-59 and 94, no. 23.","Chicago, The Martin D'Arcy Gallery of Art, The Art of Jewelry 1450-1650, Spring 1975, cat. 6.

Fine Arts Museums of San Francisco, The Triumph of Humanism, October 22, 1977-Janurary 8. 1978, cat. 92.

Art Institute of Chicago, Renaissance Decorative Arts from Chicago Collections, March 2 - June 14, 1987, no cat.+",Costume and Accessories,Applied Arts of Europe,,jewelry,Art Institute of Chicago,USA
Hat Badge with a Cameo of a Laureate Head,1550,Italian,Northern Italy,"Agate, gold, and enamel",Gift of Marilynn B. Alsdorf,"M. H. Nevil Story-Maskelyne, The Marlborough Gems (London, 1870), p. 79, no. 477.

Ian Wardropper et al, Renaissance Jewelry in the Alsdorf Collection, The Art Institute of Chicago Museum Studies 25, 2 (2000, pp. 63 and 95, no. 27.","Mantua, Palazzo Te and Palazzo Ducale. Gonzaga: Le Celeste Galeria, Sept. 2-Dec. 8, 2002, cat. 85.",Costume and Accessories,Applied Arts of Europe,,pendant (jewelry),Art Institute of Chicago,USA
Casket with the Three Theological Virtues,1500,Italian,Northern Italy,"Gold, enamel, rock crystal, and lapis lazuli",Gift of Marilynn B. Alsdorf,"Ferdinand Zenner, Die K. K. geistliche Schatzkammer (Vienna, 1856), p. 25, no. 69.

Franz Schestag, Katalog der Sammlung des Freiherrn Anselm von Rothschild in Wien., vol. 2 (Vienna, 1872) p. 32, appendix no. 608.

Frédéric Spitzer, La Collection Spitzer: Antiquité, moyen âge, renaissance (Paris, 1892), p. 19, no. 26.

Heinrich Zimerman, ""Inventare, Acten und Regesten aus der Schatzkammer des allerhöchsten Kaiserhauses,"" Jahrbuch der kunsthistorischen Sammlungen des allhöchsten Kaiserhauses, 16 (1895), Regest. 12623, p. 9, no. 53; Regest. 12648, p. 53; Kasten 7, no. 6.

Sitte, Adolph. ""Die Kaiserliche-geistliche Schatzkammer in Wien,"" Mitteilungen der K. K. Centralkommission für die Erforschung und Erhaltung der Kunst- und Historischen Denkmale, 27 (1901), p. 77.

J. Destrée, ""The Reliquary of the Holy Thorn in the Waddesdon Bequest,"" The Connoisseur, 79 (1927), p. 138.

J. F. Hayward, ""Salomon Weininger, Master Faker,"" The Connoisseur, 187 (1974), pp. 172-3 and 175-79, figs. 3 a, b, and c.

Ian Wardropper, ""Italian Renaissance Decorative Arts in Chicago Collections,"" Apollo 125 (1987), pp. 204-205, fig. 6.

Martha McCrory, ""Cameos and Intaglios"" in Ian Wardropper et al, Renaissance Jewelry in the Alsdorf Collection, The Art Institute of Chicago Museum Studies 25, 2 (2000), pp. 59-60, 94, 105, no. 24. 

Paulus Rainer, ""'Es ist immer dieselbe Melange'. Der Antiquitätenhändler Salomon Weininger und das Wiener Kunstfälscherwesen im Zeitalter des Historismus,"" Jahrbuch des Kunsthistorischen Museums Wien 10 (2008), pp. 77-78, fig. 27.

Paola Cordera, ""Art for the Rothschilds: The Career of the Dealer Frédéric Spitzer"" in A Rothschild Renaissance:  A New Look at the Waddesdon Bequest in the British Museum, ed. Pippa Shirley and Dora Thornton (London, 2017), pp. 173, 176 n. 33, fig. 253.","London, Wartski Ltd., A Thousand Years of Enamel,  May 18-June 5, 1971, cat. 19.

Chicago, The Martin D'Arcy Gallery of Art, The Art of Jewelry 1450-1650, Spring 1975, cat. 8.

Mantua, Palazzo Te and Palazzo Ducale, Gonzaga: La Celeste Galeria, Sept. 2-Dec. 8, 2002, cat. 87.",Decorative Arts,Applied Arts of Europe,,jewelry,Art Institute of Chicago,USA
Mirror,1550,"French
Probably Paris",Paris,Gilt bronze and mirrored glass,"Harry and Maribel G. Blum, Richard T. Crane, Jr. and Jane B. Tripp endowments; through prior acquisition of Lucy Buckingham",,,Decorative Arts,Applied Arts of Europe,,bronze,Art Institute of Chicago,USA
Pendant with the Penitent Saint Jerome,1650,Spanish,Spain,"Gold, enamel, emeralds, baroque pearl, and pearls",Gift of Marilynn B. Alsdorf,"Ian Wardropper et al, Renaissance Jewelry in the Alsdorf Collection, The Art Institute of Chicago Museum Studies 25, 2 (2000), pp. 47-48 and 93, no. 14.","Walters Art Gallery, Baltimore, 1948.

Detroit Institute of Arts, Decorative Arts of the Italian Renaissance 1400-1600, November 18, 1958 - January 4, 1959, cat. 358.

The Baltimore Museum of Art, Renaissance Jewels and Jeweled Objects from the Melvin Gutman Collection, 1962-68, cat. 24.",Costume and Accessories,Applied Arts of Europe,,pendant (jewelry),Art Institute of Chicago,USA
Wine Jug,1535,Italian; Venice,Italy,Parcel-gilt silver,Mary Swissler Oldberg Memorial Fund,,,Metalwork,Applied Arts of Europe,,jugs (vessels),Art Institute of Chicago,USA
"The Nativity, in Coffer",1485,"Workshop of the Master of the Very Small Hours of Anne of Brittany (French, active Paris, 1480-1510)
coffer by an unknown maker (French, 15th century)",France,"Woodcut in black, hand colored with brush, stencil and watercolor on ivory laid paper mounted on the inside cover of a coffer, constructed of wood, iron, leather, horsehair and linen",George F. Harding Deaccessions Fund; purchased with funds provided by Mr. and Mrs. William Vance; The Amanda S. Johnson and Marion J. Livingston Fund,,,Print,Prints and Drawings,,woodcut,Art Institute of Chicago,USA
Fifteen Links Mounted as a Necklace,1550,Italian,Italy,"Gold, enamel, diamonds, and pearls",Bequest of Dorothy Braude Edinburg to the Harry B. and Bessie K. Braude Memorial Collection,,,Costume and Accessories,Applied Arts of Europe,Mannerism,jewelry,Art Institute of Chicago,USA
Ring with the Virgin and Child and Saints Margaret and Catherine,1420,English,England,Gold,Bequest of Dorothy Braude Edinburg to the Harry B. and Bessie K. Braude Memorial Collection,,,Costume and Accessories,Applied Arts of Europe,medieval,jewelry,Art Institute of Chicago,USA
Vetro a reticello goblet,1595,"Italian
Venice",Venice,Glass,Mary Swissler Oldberg Fund,,,Glass,Applied Arts of Europe,Renaissance,goblet,Art Institute of Chicago,USA
Portrait of a Man in a Red Cap,1475,South German; possibly Ulm,Southern Germany,Oil on panel,"Gift of the Old Masters Society, C. Harker and Mae Svoboda Rhodes, and purchased with funds provided by Barbara Danielson","Jennifer Haraguchi, ""Debating Women's Fashion in Renaissance Venice"" in A Well-Fashioned Image:  Clothing and Costume in European Art, 1500-1850, exh. cat. The David and Alfred Smart Museum of Art, The University of Chicago, 2002, pp 25, 33 n.5, fig. 18, pl. 2.","The David and Alfred Smart Museum of Art, The University of Chicago, A Well-Fashioned Image:  Clothing and Costume in European Art, 1500-1850, 23 October 2001 - 28 April 2002, cat. no. 8.",Painting,Painting and Sculpture of Europe,,painting,Art Institute of Chicago,USA
Ring,1525,Probably Italian,Italy,"Gold, tourmaline, and traces of enamel",Chester D. Tripp Estate Fund,,,Costume and Accessories,Applied Arts of Europe,Renaissance,ring (jewelry),Art Institute of Chicago,USA
Signet Ring,1475,"Netherlandish
Probably Bruges",Bruges,Gold,Chester D. Tripp Estate Fund,,,Costume and Accessories,Applied Arts of Europe,Gothic (medieval),ring (jewelry),Art Institute of Chicago,USA
Casket,1550,French,France,Steel and gold,Purchased with funds provided by Constance and Donald Patterson through the Old Masters Society,,,Metalwork,Applied Arts of Europe,Renaissance,casket,Art Institute of Chicago,USA
Tart Mold Ring,1200,French,France,Gold and garnet,Chester D. Tripp Estate Fund,,,Costume and Accessories,Applied Arts of Europe,medieval,ring (jewelry),Art Institute of Chicago,USA
Girdle (Belt),1320,North Italian,Northern Italy,"Silver, gilding, basse taille enamel, on a modern velvet support","Old Masters Society; Wendel Fentress Ott, Betty Bell Spooner, and Harry and Maribel G. Blum funds",,,Costume and Accessories,Applied Arts of Europe,Gothic (medieval),belts (costume accessory),Art Institute of Chicago,USA
Cover of a Reliquary Container with the Virgin and Child on the Crescent Moon,1480,South German,Southern Germany,Mother-of-pearl,Arthur Logan Sales Proceeds Fund,,,Sculpture,Painting and Sculpture of Europe,,ritual objects,Art Institute of Chicago,USA
"Medallion, probably Margaret of Lorraine (recto); the Virgin Seated on a Throne Before Two Widows (verso)",1525,"Attributed to Léonard Limosin (French, c. 1505–c. 1577)",Limoges,Painted enamel on copper,The Helmuth Bartsch and Neville and John H. Bryan endowment funds,,,Decorative Arts,Applied Arts of Europe,Renaissance,limoges,Art Institute of Chicago,USA
"Monte Pincio, Rome",1840,"Jean-Baptiste-Camille Corot
French, 1796-1875",France,Oil on canvas,Mr. and Mrs. Lewis Larned Coburn Memorial Collection,"John Rewald, ""Corot Sources: The Camera Tells,"" Art News 41 (15-30 November 1942), p. 13 (ill.).

The Art Institute of Chicago, An Illustrated Guide to the Collections of The Art Institute of Chicago (Chicago, 1948), p. 32.

""The Special Vision of Corot,"" Arts 31 (November 1956), pp. 28-29 (ill.).

The Art Institute of Chicago, A Brief Guide to the Collections (Chicago, 1956), p. 33.

The Art Institute of Chicago, Paintings in the Art Institute of Chicago: Catalogue of the Picture Collection (Chicago, 1961), p. 85, 240 (ill.).

Madeline Hours, Jean-Baptiste-Camille Corot (New York, 1972), p. 104 -105 (ill.).

The Art Institute of Chicago, Bulletin of The Art Institute of Chicago 68 (May-June 1974), p. 6 (ill.).

John D. Morse, Old Master Paintings in North America (New York, 1979), p. 62.

Jean Selz, La Vie et L'Oeuvre de Camille Corot (Paris, 1988), p.146-147 (ill.).","Paris, Petit Palais, ""Le Paysage Français de Poussin a Corot,"" May - June 1925, p. 109, cat. 724.

Paris, Musée l'Orangerie, ""Corot,"" 1936, cat. 9, as Rome.  La Trinité des Monts.

Columbus, Columbus Gallery of Fine Arts, ""Small Paintings by Corot,"" November 6–December 4, 1943, cat. 2.

Philadelphia, Philadelphia Museum of Art, ""Corot: 1796 - 1875,"" 1946, cat. 3 (ill).

Toronto, Art Gallery of Toronto, ""J. B. C. Corot,"" January - February 1950, cat. 4.

New York, Paul Rosenberg & Co., ""Loan Exhibition of Paintings by J. B. C. Corot (1796-1875), November 5–December 1, 1956, cat. 4 (ill.).

Washington D.C., The Phillips Gallery, ""Loan Exhibition of Paintings by J. B. C. Corot (1796-1875), December 16, 1956–January 17, 1957, cat. 4 (ill.).

Rome, Palazzo delle Esposizioni, ""L'Italia Vista dai Pittori Francesi del XVIII e XIX Secolo,"" February - March 1961, p. 31, cat. 83.

Gary, Indiana University Northwest, ""First International Folk and Art Festival,"" August 28–September 1, 1969.

Chicago, The Art Institute of Chicago, ""The Artist Looks at the Landscape,"" June 22–August 25, 1974, no cat. no.

Paris, Galeries nationales du Grand Palais, Corot 1796-1875, February 27 – May 27, 1996, cat. 14; Ottawa, National Gallery of Canada, June 21- September 22, 1996; New York, The Metropolitan Museum of Art, October 22, 1996 – January 19, 1997.",Painting,Painting and Sculpture of Europe,,oil on canvas,Art Institute of Chicago,USA
The Big Slide,1989,"Cady Noland
American, born 1956",United States,"Metal pole and fittings, plastic phone cord boxes, cotton and nylon flags, walking cane for the blind, wire dishwasher rack, high reach pole, key rings",Gift of Donna and Howard Stone in honor of James Rondeau,,,Sculpture,Contemporary Art,,sculpture,Art Institute of Chicago,USA
Double Sink,1984,"Robert Gober
American, born 1954",United States,"Latex and enamel on plaster, wood, wire lath, and steel",Gift of Donna and Howard Stone,,,Sculpture,Contemporary Art,,sculpture,Art Institute of Chicago,USA
Deeps and Skies,1995,"Roni Horn
American, born 1955",United States,Solid cast glass; artist's proof,Gift of Donna and Howard Stone,,,Sculpture,Contemporary Art,,sculpture,Art Institute of Chicago,USA
Vase,1906,"Designed by Dard Hunter (American, 1883–1966)
Roycroft (American, 1895–1938)
East Aurora, New York",New York,Porcelain,Through prior acquisition of the Antiquarian Society through the Jessie Spalding Landon Fund,,"Art Institute of Chicago, Apostles of Beauty: Arts and Crafts from Britain to Chicago, Nov. 7, 2009–Jan. 31, 2010, cat. 120.",Decorative Arts,Arts of the Americas,Arts and Crafts Movement,vase,Art Institute of Chicago,USA
Vase,1903,"Design attributed to George Prentiss Kendrick (American, 1850–1919)
Decoration attributed to Eva Russell (American, active c. 1905)
Grueby Faience Company (American, 1894–1909)
Boston",Boston,Glazed earthenware,"Purchased with funds provided by the Antiquarian Society; through prior acquisition of the B. F. Ferguson Fund; Skinner Sales Proceeds Fund; Wesley M. Dixon Jr., and Roger and J. Peter McCormick Endowment; through prior acquisition of the Antiquarian Society; Goodman, Simeon B. Williams, Harriet A. Fox, and Wendel Fentress Ott Endowment; Highland Park Community Associates; Charles R. and Janice Feldstein Endowment Fund for Decorative Arts","Annual Report (Art Institute of Chicago, 2008–09),16.

Brandon K. Ruud, ""Notable Acquisitions at the Art Institute of Chicago,"" Museum Studies 35, 2 (Art Institute of Chicago, 2009), 16–17 (ill.).","Art Institute of Chicago, Apostles of Beauty: Arts and Crafts from Britain to Chicago, Nov. 7, 2009–Jan. 31, 2010, cat. 57.",Decorative Arts,Arts of the Americas,Arts and Crafts Movement,vase,Art Institute of Chicago,USA
Vase,1909,"Designed by Annie E. Aldrich (American, 1857–1937)
Made by John Swallow (American, 1856–1920)
Decorated by Sarah Tutt (American, 1859–1947)
Marblehead Pottery (American, 1904–1936)
Marblehead, Massachusetts",Marblehead,Glazed earthenware,Vance American Art Fund; purchased with funds provided by the Antiquarian Society,"Rago Arts, Lambertsville, NJ, Early 20th Century Design, May 12, 2022, lot 144, mentioned. https://www.ragoarts.com/auctions/2022/05/early-20th-century/144 (Accessed May 3, 2022)

Annual Report (Art Institute of Chicago, 2007–2008), 19., ill. p. 24.

Brandon K. Ruud, ""Notable Acquisitions at the Art Institute of Chicago,"" Museum Studies 35, 2 (Art Institute of Chicago, 2009), 16–17 (ill.).","Art Institute of Chicago, Apostles of Beauty: Arts and Crafts from Britain to Chicago, Nov. 7, 2009–Jan. 31, 2010, cat. 90.",Decorative Arts,Arts of the Americas,Arts and Crafts Movement,vase,Art Institute of Chicago,USA
Finnish Painting,2015,"Pope.L
American, born 1955",United States,"Oil, acrylic, flash paint, marker, pen, collage, thumbtacks and tape on torn paper",Purchased with funds provided by Denise B. Gardner,,,Painting,Contemporary Art,21st Century,painting,Art Institute of Chicago,USA
What black is this you say?—”I thought red koolaid was juice til I was 10 years old”—black (06.03.20),2021,"Amanda Williams
American, born 1974",United States,"Oil, mixed media on canvas",Mr. and Mrs. Frank H. Armstrong and Mr. and Mrs. J.F. Brower prize funds,None to date.,None to date.,Painting,Contemporary Art,,painting,Art Institute of Chicago,USA
Untitled,1987,"René Daniëls
Dutch, born 1950",,Oil on canvas,Through prior gift of Mr. and Mrs. Edwin E. Hokin,,,Painting,Contemporary Art,,painting,Art Institute of Chicago,USA
Flag Day,1966,"Benny Andrews
American, 1930–2006",United States,Oil on canvas,Gift of the Honorable Joseph P. Carroll and Mrs. Carroll,,,Painting,Contemporary Art,,oil on canvas,Art Institute of Chicago,USA
Sin Título (Untitled),1967,"Teresa Burga
Peruvian, 1935-2021",,"Acrylic, paper, and canvas on plywood",Gift of Diane and Bruce Halle,,,Painting,Contemporary Art,,painting,Art Institute of Chicago,USA
The Trogens,1967,"Gladys Nilsson
American, born 1940",Chicago,"Acrylic on Plexiglas, in artist's painted frame",Gift of Gladys Nilsson in memory of Whitney Halstead,,,Painting,Contemporary Art,,acrylic paintings (visual works),Art Institute of Chicago,USA
Maggie's Brain,1995,"Christopher Wool
American, born 1955",United States,Enamel on aluminum,Gift of Society for Contemporary Art,,,Painting,Contemporary Art,,enamel,Art Institute of Chicago,USA
Eddie (Sylvie's Brother) in the Desert,1965,"Öyvind Fahlström
Swedish, born Brazil, 1928-1976",,"Ink and tempera on wood, 20 cutouts on vinyl",Through prior gift of Mr. and Mrs. Edwin E. Hokin,,,Painting,Contemporary Art,,ink,Art Institute of Chicago,USA
Festival in Piazza Navona,1729,"Giovanni Paolo Panini
Italian, 1691-1765",Italy,Oil on canvas,Simeon B. Williams Fund,,,Painting,Painting and Sculpture of Europe,,oil on canvas,Art Institute of Chicago,USA
"The Meeting of Gautier, Count of Antwerp, and his Daughter, Violante",1782,"Giuseppe Cades
Italian, 1750-1799",Italy,Oil on canvas,Charles H. Worcester Sketch Collection,"Giulio Cantalamessa, “Un quadro inavvetito di Giuseppe Cades nella Galleria Borghese,” Bolletino d’arte (1918), p. 82.

The Art Institute of Chicago, Paintings in The Art Institute of Chicago: A Catalogue of the Picture Collection (Chicago, 1961), p. 64.

Art Institute of Chicago Quarterly 57 (1963–64), p. 2, ill.

Art Institute of Chicago, Annual Report 1963–64 (Chicago, 1964), p. 19.

Robert Rosenblum, “Neoclassicism Surveyed,” Burlington Magazine 107 (January 1965), p. 33.

John Maxon, The Art Institute of Chicago (London, 1970), pp. 262, 268, ill.

The Academy of Europe: Rome in the 18th Century, exh. cat. (Benton Museum of Art, Storrs, Connecticut, 1973), no. 123.

Maria Teresa Caracciolo, Giuseppe Cades 1750–1799 et la Rome de son Temps (Paris, 1990), pp. 294–95, no. 93 D, ill.

Beverly Louise Brown, Giambattista Tiepolo.  Master of the Oil Sketch exh. cat. (Kimbell Art Museum, Fort Worth, 1993), pp. 60–61, fig. 33.","Rome, Palazzo della Esposizioni, March 19–May 31, 1959, cat. 113.

Cleveland, Ohio, Cleveland Museum of Art, Neo-Classicism: Style and Motif, September 21–November 1, 1964.

Chicago, Art Institute, Painting in Italy in the Eighteenth Century, September 9–November 8, 1970; Minneapolis, Museum of Arts, December 3, 1970–January 10, 1971; Toledo, Museum of Art, February 7–March 21, 1971.

Storrs, Connecticut, Benton Museum of Art (University of Connecticut), Rome in the 18th Century, October 13–November 19, 1973, cat. 123.

Philadelphia Museum of Art, Art In Rome in the Eighteenth Century, February 27-May 21, 2000; Houston, Museum of Fine Arts Houston, June 17-September 17, 2000.",Painting,Painting and Sculpture of Europe,,oil on canvas,Art Institute of Chicago,USA
Morning,1760,"Claude Joseph Vernet
French, 1714-1789",France,Oil on canvas,Mr. and Mrs. Martin A. Ryerson Collection,"Léon Lagrange, Les Vernet: Joseph Vernet et la peinture au XVIIIe siècle (Paris, 1864), p. 342, C.184, p. 364, R.104, p. 385.

Maurice Meaudre de Lapouyade, Voyage d’un allemand à Bordeaux en 1801 (Bordeaux, 1912), pp. 44-45.

“La Curiosité,” New York Herald, Paris ed., May 28, 1924, p. 5.

Art Institute of Chicago, A Guide to the Paintings in the Permanent Collection (Chicago, 1925), p. 161, no. 2086.

Rose Mary Fischkin, Martin A. Ryerson Collection of Paintings and Sculpture, XIII to XVIII Century, Loaned to The Art Institute of Chicago, unpub. MS, 1926, Ryerson Library, The Art Institute of Chicago, p. 149.

Florence Ingersoll-Smouse, Joseph Vernet, peintre de marine, 1714–1789: Etude critique suivie d’un catalogue raisonné de son oeuvre peint avec trois cent cinquante-sept reproductions, (Paris, 1926), vol. 1, p. 92, no. 732, fig. 180, vol. 2, p. 15, under no. 873, p. 132.

Art Institute of Chicago, A Guide to the Paintings in the Permanent Collection (Chicago, 1932), p. 183.
William R. Valentiner, Paintings in the Collection of Martin A. Ryerson, unpub. MS [1932], Archives, The Art Institute of Chicago, n. pag.

Art Institute of Chicago, Paintings in The Art Institute of Chicago: A Catalogue of the Picture Collection (Chicago, 1961), p. 461.
Peter Murray, Dulwich Picture Gallery: A Catalogue (London, 1980), p. 133, under no. 300.

Le Port des lumières: La Peinture à Bordeaux, 1750–1800, exh. cat. (Musée des Beaux-Arts de Bordeaux, 1989), p. 36, fig. 7.

Christopher Wright, The World’s Master Paintings from the Early Renaissance to the Present Day: A Comprehensive Listing of Works by 1,300 Painters and a Complete Guide to Their Locations Worldwide (New York, 1991), vol. 1, p. 464, vol. 2, pp. 62, 639.

Susan Wise in Susan Wise and Malcolm Warner, French and British Paintings from 1600 to 1800 in The Art Institute of Chicago (Chicago, 1996), pp. 152–56, ill.

Werner Hofmann, Das entzweite Jahrhundert.  Kunst zwischen 1750 und 1830 (Munich, 1995), pp. 344-46, fig. 281 (Une époque en rupture. 1750-1830, trans. Miguel Couffon, Paris, 1995, pp. 344-46, 714, fig. 281).","Paris, Ecole des Beaux-Arts, Les Vernet, [1897–98], no. 37.

The Art Institute of Chicago, Selected Works of Eighteenth-Century French Art in the Collections of The Art Institute of Chicago, 1976, no. 10.",Painting,Painting and Sculpture of Europe,,oil on canvas,Art Institute of Chicago,USA
Pair of Mounted Vases,1740,"China
Mounts attributed to Jean-Claude Duplessis (French, c. 1695-1774)",China,Hard paste porcelain and gilt bronze,Purchased with funds provided by the Antiquarian Society,,,Ceramics,Applied Arts of Europe,Rococo,vase,Art Institute of Chicago,USA
The Shipwreck,1782,"Jean Baptiste Pillement
French, 1728-1808",France,Pastel on gessoed canvas,Harry B. and Bessie K. Braude Memorial Fund,,"Lisbon, Fundaçao Ricardo do Espirito Santo Silva, Jean Pillement e o paisagismo em Portugal no século XVIII, 1996, cat. 36, n.p. (color ills.).",Drawing and Watercolor,Prints and Drawings,,pastel,Art Institute of Chicago,USA
Port Scene in Calm Weather,1782,"Jean Baptiste Pillement
French, 1728-1808",France,Pastel on gessoed canvas,Harry B. and Bessie K. Braude Memorial Fund,,"Lisbon, Fundaçao Ricardo do Espirito Santo Silva, Jean Pillement e o paisagismo em Portugal no século XVIII, 1996, cat. 23, n.p. (color ills.).",Drawing and Watercolor,Prints and Drawings,,pastel,Art Institute of Chicago,USA
